# eto sig
1.891595790417071243e-03 4.137896689962985874e+02
1.905554457083737888e-03 4.159629802960042184e+02
1.915195490417071064e-03 4.180596921628949758e+02
1.926326657083737804e-03 4.204431848331292940e+02
1.936891590417071183e-03 4.228474082129012004e+02
1.947773157083737810e-03 4.252823504083656871e+02
1.957879857083737792e-03 4.277636402906647959e+02
1.969677857083737722e-03 4.303547634122298291e+02
1.980574323750404660e-03 4.327589867920017355e+02
1.995706457083737916e-03 4.351112217199522547e+02
2.008551257083737891e-03 4.374486541308672827e+02
2.015938523750404696e-03 4.397510922418002224e+02
2.029174490417071011e-03 4.420926564232470923e+02
2.038983157083737799e-03 4.443723159035962453e+02
2.046754123750404476e-03 4.464640696458489515e+02
2.062992657083738152e-03 4.485460508525829368e+02
2.073948723750404597e-03 4.506747749589849832e+02
2.079991157083737729e-03 4.528380262956567321e+02
2.100409490417071232e-03 4.549767744366532156e+02
2.107986723750404721e-03 4.571316903753826750e+02
2.114252657083738173e-03 4.593653255248520395e+02
2.133754557083737940e-03 4.614239532459717452e+02
2.143246590417071263e-03 4.637933978963981190e+02
2.154880657083738191e-03 4.662048788209301051e+02
2.172810490417071382e-03 4.685371375365705831e+02
2.179020557083737909e-03 4.707989046540952813e+02
2.194249523750404704e-03 4.729951382981423649e+02
2.202355757083738173e-03 4.753400797528933026e+02
2.216709323750404824e-03 4.776588653037562722e+02
2.237429390417071482e-03 4.798126674608641338e+02
2.250073023750404425e-03 4.819088404011637863e+02
2.266073123750404848e-03 4.841341760811301924e+02
2.274093690417071205e-03 4.864779318973808131e+02
2.286718690417071254e-03 4.887740466029782169e+02
2.302741157083738020e-03 4.909872384704252113e+02
2.324414890417071146e-03 4.932222389005920036e+02
2.338042023750404666e-03 4.954149156291377381e+02
2.361109023750404545e-03 4.971792535030779732e+02
2.374639257083738415e-03 4.988705129312652389e+02
2.396886690417071586e-03 5.002896862878261572e+02
2.417912257083737904e-03 5.016268350172217652e+02
2.440446523750404786e-03 5.026741490259244074e+02
2.464672090417071183e-03 5.035976536324317863e+02
2.492559623750404720e-03 5.042971803476784771e+02
2.532189257083738206e-03 5.048172445080890611e+02
2.560214590417071463e-03 5.049942639290454167e+02
2.605879223750404670e-03 5.050263120969961506e+02
2.651446957083738228e-03 5.048556160813752740e+02
2.694783257083738053e-03 5.047274593380120109e+02
2.744631390417071482e-03 5.043831211747390739e+02
2.793060157083737931e-03 5.040715138197655278e+02
2.839175523750404797e-03 5.036677859461534581e+02
2.885093457083738079e-03 5.032414590841547124e+02
2.930769223750405092e-03 5.028012279161055744e+02
2.972965590417071292e-03 5.024846624364939771e+02
3.024002057083737937e-03 5.021895821636474579e+02
3.071935390417071532e-03 5.020666709724375210e+02
3.119239123750404668e-03 5.019943470239119847e+02
3.162474823750404881e-03 5.018025250859201947e+02
3.213295257083738105e-03 5.015934934254524364e+02
3.253491123750404737e-03 5.014618516234666572e+02
3.304397223750405073e-03 5.012549756693634322e+02
3.349080090417071772e-03 5.011499927694173948e+02
3.390943090417071395e-03 5.009625900294724374e+02
3.436253757083737939e-03 5.007215820579329488e+02
3.479921757083738118e-03 5.006979411448034512e+02
3.519896090417071188e-03 5.005526465358430528e+02
3.556236090417071779e-03 5.005454249195223611e+02
3.599145757083738358e-03 5.005695329023641875e+02
3.639813090417071389e-03 5.004786698791048707e+02
3.687731423750404639e-03 5.004713404774659580e+02
3.724941423750404833e-03 5.004069207856099410e+02
3.765817423750404853e-03 5.002320570710179481e+02
3.806624090417071605e-03 5.001239124684040007e+02
3.839706423750405013e-03 5.000296362434011144e+02
3.889184090417071357e-03 5.000185343556245243e+02
3.927677423750404635e-03 5.000956727150304459e+02
3.970829423750404930e-03 5.001438168238353228e+02
4.016566757083737775e-03 5.000595646334268736e+02
4.058343757083738429e-03 5.002038173176442797e+02
4.101385757083738509e-03 5.001693260158139651e+02
4.144088757083738347e-03 5.001699008708445149e+02
4.191679757083737086e-03 5.000395165642379425e+02
4.236642090417071065e-03 4.999524260271163598e+02
4.285707423750404269e-03 4.998594791543714564e+02
4.326654423750404647e-03 4.997027233732403602e+02
